# EOS 2000D hot pixels: per-pixel MIN of 235 x 10s ISO1600 JPEGs (IMG_9347-9581, night3 2026-07-12), threshold median+15
# x,y,min_value (6000x4000 frame; JPEG demosaic spreads each hot photosite over ~2-3 px)
x,y,value
293,1714,115
5788,867,115
360,1654,114
2288,2034,114
2288,16,114
293,1712,113
2287,2034,113
1942,882,113
1940,882,113
1984,818,113
294,1712,113
360,1652,113
2587,2173,112
359,1652,112
1563,2623,112
1565,2623,111
5791,866,111
2585,2173,111
5789,865,110
5789,867,109
1908,3028,109
1999,3263,107
363,1653,107
1994,3262,107
816,3354,107
4758,2852,107
4943,2536,107
2291,17,107
3345,2217,107
3340,2216,107
1994,3264,107
3762,2332,106
2801,1011,106
2291,2035,106
4066,1045,106
3338,2217,106
1906,3029,106
816,3356,105
290,1713,105
4068,1046,105
4944,2536,105
1486,312,105
4758,2850,105
4068,1044,105
3340,2218,105
3767,2331,105
1908,3030,104
2286,18,104
2142,141,104
292,1714,103
2286,16,103
3762,2330,103
1992,3263,103
2284,17,103
358,1652,103
4073,1045,103
4943,2534,103
3760,2331,103
821,3355,103
2796,1012,103
2796,1010,103
5787,865,103
356,1653,102
4448,3653,102
1913,3029,102
2286,2036,102
358,1654,102
2284,2035,101
2286,2034,100
4944,2534,100
4763,2851,100
814,3355,100
297,1713,100
2794,1011,99
2799,1010,99
1997,3262,99
5787,867,98
3343,2216,97
4071,1046,97
4756,2851,97
5186,3819,97
3765,2330,97
5186,3821,97
1911,3030,97
292,1712,97
2289,18,96
2799,1012,96
4340,3263,96
4071,1044,96
4340,3265,96
295,1714,96
3765,2332,95
4044,2925,95
1997,3264,95
3343,2218,95
1911,3028,95
5538,2619,95
819,3356,95
3898,1531,95
4761,2850,95
4810,2245,94
4810,2243,94
4304,1877,94
512,2599,94
4304,1879,94
819,3354,94
295,1712,94
1880,1311,93
4761,2852,93
2289,2036,93
361,1654,93
2424,1757,93
3422,3877,93
3422,3875,92
4447,3653,92
4450,3651,92
2590,513,92
5146,1475,92
5146,1477,92
4947,2535,92
4942,2534,92
204,2563,92
4044,2923,92
2424,1759,92
2289,2034,92
3898,1529,91
2289,16,91
5538,2621,91
4942,2536,91
2590,511,91
1436,430,90
1880,1313,90
3798,1037,90
361,1652,90
3798,1035,90
5902,47,88
4046,2924,88
3424,3876,88
512,2601,88
4342,3264,87
1482,312,87
4940,2535,87
4452,3652,87
5188,3820,86
204,2565,86
4945,2534,85
4945,2536,85
4450,3653,85
4812,2244,84
3418,3877,84
4335,3264,84
4039,2924,84
3418,3875,84
5182,3819,84
2592,512,83
5181,3820,83
5902,49,83
4300,1877,83
1437,430,83
4336,3263,82
5540,2620,82
